enm_id,column_length,column_width,porosity,darcy_velocity,influent_concentration_enm,influent_pore_volumes,ph,electrolyte_concentration,electrolyte_id,enm_density,enm_isoelectric_point,enm_zeta_potential,collector_zeta_potential,enm_diameter,collector_diameter,collector_coating,concentration_nom,nom_id,hamaker_constant_combined,enm_relative_permittivity,valence,electrolyte_rel_conc,ionic_strength,debye_length,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,5.0,0.1,CaCl2,4510,6.4,-31.98,27.21,4.68e-07,0.00051,IronOxide,10.0,SRHA,6.94e-21,110.0,"[2, -1]","[1, 2]",0.3,2.07904524965e-08,22.5103325711,0.000917647058824,0.081222831831,10130757.6623,22619.7150512,0.280989235903,33.6391419474,1.18752202306,17.8365538617,-0.987094979339,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,1.0,NaCl,4510,6.4,-46.79,23.29,4.72e-07,0.00051,IronOxide,1.0,SRHA,6.94e-21,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,41.4493218599,0.000925490196078,0.0798520069617,10304673.0725,22813.0459491,0.280989235903,33.6391419474,1.18752202306,27.8718969263,-0.797838599023,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,1.0,NaCl,4510,6.4,-48.02,23.29,4.78e-07,0.00051,IronOxide,10.0,SRHA,6.94e-21,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,41.9762200192,0.000937254901961,0.0778599355708,10568321.4338,23103.0422959,0.280989235903,33.6391419474,1.18752202306,29.4311650485,-0.785288296412,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,10.0,NaCl,4510,6.4,-46.54,21.73,4.82e-07,0.00051,IronOxide,1.0,SRHA,6.94e-21,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,133.851261677,0.000945098039216,0.0765730166447,10745937.1719,23296.3731938,0.280989235903,33.6391419474,1.18752202306,27.4875449732,-0.766680167215,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,10.0,NaCl,4510,6.4,-48.88,21.73,5.09e-07,0.00051,IronOxide,10.0,SRHA,6.94e-21,110.0,"[1, -1]","[1, 1]",10.0,3.60101200363e-09,141.349153929,0.000998039215686,0.0686648172539,11983558.0845,24601.3567544,0.280989235903,33.6391419474,1.18752202306,31.4840487945,-0.742395220768,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,0.01,CaCl2,4510,6.4,-22.62,27.51,4.64e-07,0.00051,IronOxide,0.0,None,6.94e-21,110.0,"[2, -1]","[1, 2]",0.03,6.57451834745e-08,7.05755122244,0.000909803921569,0.0826292616628,9958322.38321,22426.3841534,0.280989235903,33.6391419474,1.18752202306,12.7228187582,-0.981148782642,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,0.05,CaCl2,4510,6.4,-19.04,25.35,5.55e-07,0.00051,IronOxide,0.0,None,6.94e-21,110.0,"[2, -1]","[1, 2]",0.15,2.94021398884e-08,18.8761771118,0.00108823529412,0.0577542391655,14247418.6798,26824.66208,0.280989235903,33.6391419474,1.18752202306,12.0589183211,-0.960387669788,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,0.1,CaCl2,4510,6.4,-17.38,24.66,7.74e-07,0.00051,IronOxide,0.0,None,6.94e-21,110.0,"[2, -1]","[1, 2]",0.3,2.07904524965e-08,37.2286269445,0.00151764705882,0.0296953133141,27709720.2923,37409.5287386,0.280989235903,33.6391419474,1.18752202306,15.2284356184,-0.941771517722,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,0.1,CaCl2,4510,6.4,-32.37,24.66,4.54e-07,0.00051,IronOxide,1.0,SRHA,6.94e-21,110.0,"[2, -1]","[1, 2]",0.3,2.07904524965e-08,21.836946554,0.000890196078431,0.0863094059605,9533709.7593,21943.0569087,0.280989235903,33.6391419474,1.18752202306,16.2512033781,-0.964102341128,5.0
TiO2,0.1,0.02,0.42,4.63e-05,50.0,4.5,7.0,0.1,CaCl2,4510,6.4,-30.43,24.66,4.56e-07,0.00051,IronOxide,10.0,SRHA,6.94e-21,110.0,"[2, -1]","[1, 2]",0.3,2.07904524965e-08,21.9331445565,0.000894117647059,0.0855539662154,9617892.2185,22039.7223576,0.280989235903,33.6391419474,1.18752202306,15.1218768459,-0.978298097159,5.0
ZnO,0.2,0.04,0.42,9.26e-05,5.0,3.0,8.0,0.1,CaCl2,5610,9.4,-17.9,-50.1,4.24e-07,0.00051,None,0.0,None,6.956e-21,2.0,"[2, -1]","[1, 2]",0.3,2.80338404274e-09,151.245777794,0.00083137254902,0.0495916122027,5459572.71923,40986.1503492,0.281637049703,33.6391419474,12.6669015793,25.9420196281,0.633679807237,5.0
ZnO,0.2,0.04,0.42,9.26e-05,5.0,3.0,8.0,0.3,CaCl2,5610,9.4,-12.8,-47.0,4.37e-07,0.00051,None,0.0,None,6.956e-21,2.0,"[2, -1]","[1, 2]",0.9,1.61853453172e-09,269.997328717,0.000856862745098,0.0466849681118,5799490.15785,42242.8011854,0.281637049703,33.6391419474,12.6669015793,22.4149066469,0.507071694678,5.0
ZnO,0.2,0.04,0.42,9.26e-05,5.0,3.0,8.0,0.5,CaCl2,5610,9.4,-11.0,-40.7,4.57e-07,0.00051,None,0.0,None,6.956e-21,2.0,"[2, -1]","[1, 2]",1.5,1.25371145732e-09,364.517686531,0.000896078431373,0.0426881702826,6342483.4396,44176.1101642,0.281637049703,33.6391419474,12.6669015793,17.5594297878,0.503744043567,5.0
ZnO,0.2,0.04,0.42,9.26e-05,5.0,3.0,8.0,1.0,CaCl2,5610,9.4,-7.8,-34.0,5.07e-07,0.00051,None,0.0,None,6.956e-21,2.0,"[2, -1]","[1, 2]",3.0,8.86507873123e-10,571.906934356,0.000994117647059,0.0346835882472,7806257.27519,49009.382611,0.281637049703,33.6391419474,12.6669015793,13.3360888239,0.435883107064,5.0
ZnO,0.2,0.04,0.42,9.26e-05,5.0,3.0,8.0,1.0,NaCl,5610,9.4,-35.2,-72.3,3.87e-07,0.00051,None,0.0,None,6.956e-21,2.0,"[1, -1]","[1, 1]",1.0,1.53547667756e-09,252.038995874,0.000758823529412,0.0595275502631,4548297.58469,37409.5287386,0.281637049703,33.6391419474,12.6669015793,54.0948439277,0.787142011002,5.0
